Size	<X1>	<X2>	R_X3	R_X4	R_X5	<X1>	<X3>	R_X6	R_X4	<X1>	<X7>	R_X8	R_X4	<X1>	<X8>	R_X9	R_X4	<X1>	<X9>	R_X10	R_X4	<X1>	<X10>	R_X11	R_X4	
10	0.0009978	9.979e-06	1.995e-12	0	0	0.0009978	3.882e-07	3.878e-14	0	0.0009978	6.095e-05	6.188e-12	0	0.0009978	3.475e-06	3.472e-13	0	0.0009978	6.713e-09	6.703e-16	0	0.0009978	9.458e-11	9.448e-18	0
31.6227766017	0.003141	3.142e-05	1.976e-11	9.901e-10	9.644e-14	0.003141	3.717e-06	1.171e-12	9.901e-10	0.003141	0.0002397	7.653e-11	9.901e-10	0.003141	0.0001843	5.81e-11	9.901e-10	0.003141	3.603e-06	1.135e-12	9.901e-10	0.003141	5.988e-07	1.887e-13	9.901e-10
100	0.009793	9.806e-05	1.925e-10	9.695e-09	8.91e-13	0.009793	3.213e-05	3.181e-11	9.695e-09	0.009793	0.0004978	5.022e-10	9.695e-09	0.009793	0.0004597	4.551e-10	9.695e-09	0.009793	7.594e-05	7.516e-11	9.695e-09	0.009793	5.011e-05	4.96e-11	9.695e-09
316.227766017	0.0297	0.0002983	1.777e-09	9.095e-08	7.132e-12	0.0297	0.0002205	6.75e-10	9.095e-08	0.0297	0.0007569	2.405e-09	9.095e-08	0.0297	0.0007605	2.329e-09	9.095e-08	0.0297	0.0005014	1.535e-09	9.095e-08	0.0297	0.0004752	1.455e-09	9.095e-08
1000	0.08424	0.0008574	1.418e-08	7.59e-07	4.149e-11	0.08424	0.001012	9.12e-09	7.59e-07	0.08424	0.0009291	9.071e-09	7.59e-07	0.08424	0.0009957	8.971e-09	7.59e-07	0.08424	0.0009435	8.497e-09	7.59e-07	0.08424	0.0009371	8.441e-09	7.59e-07
3162.27766017	0.2161	0.002333	8.266e-08	4.871e-06	1.541e-10	0.2161	0.00299	6.771e-08	4.871e-06	0.2161	0.001188	3.043e-08	4.871e-06	0.2161	0.001343	3.03e-08	4.871e-06	0.2161	0.001336	3.009e-08	4.871e-06	0.2161	0.001335	3.005e-08	4.871e-06
10000	0.5587	0.006704	3.287e-07	2.156e-05	4.49e-10	0.5587	0.007451	2.914e-07	2.156e-05	0.5587	0.002321	9.768e-08	2.156e-05	0.5587	0.002511	9.743e-08	2.156e-05	0.5587	0.002523	9.729e-08	2.156e-05	0.5587	0.002523	9.724e-08	2.156e-05
31622.7766017	1.627	0.02065	1.094e-06	7.509e-05	1.351e-09	1.627	0.02115	9.885e-07	7.509e-05	1.627	0.00651	3.097e-07	7.509e-05	1.627	0.006671	3.09e-07	7.509e-05	1.627	0.006693	3.089e-07	7.509e-05	1.627	0.006696	3.088e-07	7.509e-05
100000	5.02	0.06484	3.508e-06	0.0002437	4.206e-09	5.02	0.06486	3.184e-06	0.0002437	5.02	0.01998	9.8e-07	0.0002437	5.02	0.0201	9.78e-07	0.0002437	5.02	0.02013	9.779e-07	0.0002437	5.02	0.02014	9.776e-07	0.0002437	

